"breed","breed_count"
"pit bull","212"
"american pit bull terrier/pit bull","144"
"mixed breed","139"
"american pit bull mix / pit bull mix","127"
"mixed","126"
"shih tzu","87"
"german shepherd","83"
"yorkshire terrier","58"
"chihuahua","57"
"labrador retriever crossbreed","46"
