"breed","breed_count"
"pit bull","384"
"shih tzu","96"
"chihuahua","86"
"mixed/other","77"
"american pit bull mix / pit bull mix","63"
"unknown","54"
"yorkshire terrier","52"
"maltese","43"
"german shepherd","40"
"american pit bull terrier/pit bull","37"
