,incident_date,borough,zip_code
167,2015-02-19,Manhattan,10021.0
168,2015-02-19,Queens,11370.0
169,2015-02-20,Manhattan,10023.0
170,2015-02-21,Bronx,10464.0
171,2015-02-21,Queens,11385.0
172,2015-02-21,Queens,11385.0
173,2015-02-21,Queens,11368.0
174,2015-02-22,Queens,11417.0
175,2015-02-22,Bronx,10467.0
176,2015-02-22,Brooklyn,11209.0
177,2015-02-23,Manhattan,10029.0
178,2015-02-23,Queens,
179,2015-02-23,Manhattan,10023.0
180,2015-02-24,Brooklyn,11215.0
181,2015-02-24,Queens,11423.0
182,2015-02-24,Queens,
183,2015-02-24,Bronx,
184,2015-02-24,Bronx,10458.0
185,2015-02-25,Queens,11417.0
186,2015-02-26,Brooklyn,11216.0
187,2015-02-26,Brooklyn,11226.0
188,2015-02-27,Bronx,
189,2015-02-27,Bronx,10463.0
190,2015-02-27,Manhattan,10029.0
191,2015-02-27,Brooklyn,11206.0
192,2015-02-27,Manhattan,10027.0
193,2015-02-27,Bronx,10461.0
194,2015-02-28,Queens,
195,2015-02-28,Brooklyn,11228.0
196,2015-02-28,Queens,11369.0
197,2015-02-28,Brooklyn,11230.0
198,2015-02-28,Staten Island,10314.0
199,2015-02-28,Queens,11358.0
200,2015-02-28,Queens,11374.0
201,2015-02-28,Bronx,10456.0
202,2015-03-01,Bronx,
203,2015-03-01,Manhattan,10016.0
204,2015-03-01,Queens,11385.0
205,2015-03-01,Brooklyn,11225.0
206,2015-03-02,Queens,11385.0
207,2015-03-02,Bronx,
208,2015-03-02,Staten Island,10305.0
209,2015-03-03,Manhattan,10038.0
210,2015-03-03,Manhattan,10038.0
211,2015-03-03,Manhattan,10038.0
212,2015-03-03,Manhattan,10038.0
213,2015-03-03,Staten Island,10310.0
214,2015-03-03,Queens,
215,2015-03-05,Queens,11385.0
216,2015-03-05,Queens,11354.0
217,2015-03-05,Queens,11421.0
218,2015-03-05,Manhattan,10025.0
219,2015-03-06,Queens,11102.0
220,2015-03-06,Manhattan,10065.0
221,2015-03-06,Manhattan,10029.0
222,2015-03-06,Bronx,
223,2015-03-06,Manhattan,10001.0
224,2015-03-07,Queens,
225,2015-03-07,Staten Island,10306.0
226,2015-03-07,Queens,11691.0
227,2015-03-07,Brooklyn,11201.0
228,2015-03-07,Brooklyn,11233.0
229,2015-03-07,Queens,
230,2015-03-07,Queens,
231,2015-03-08,Staten Island,10314.0
232,2015-03-08,Manhattan,10036.0
233,2015-03-08,Bronx,10473.0
234,2015-03-08,Brooklyn,11234.0
235,2015-03-09,Manhattan,
236,2015-03-11,Manhattan,10065.0
237,2015-03-11,Bronx,10474.0
238,2015-03-12,Manhattan,10010.0
239,2015-03-12,Manhattan,
240,2015-03-12,Brooklyn,11208.0
241,2015-03-12,Queens,11354.0
242,2015-03-12,Staten Island,
243,2015-03-13,Manhattan,10025.0
244,2015-03-13,Brooklyn,11231.0
245,2015-03-13,Bronx,10470.0
246,2015-03-13,Manhattan,10029.0
247,2015-03-14,Queens,11368.0
248,2015-03-14,Queens,11361.0
249,2015-03-14,Staten Island,10306.0
250,2015-03-14,Bronx,10458.0
251,2015-03-14,Bronx,10462.0
252,2015-03-14,Brooklyn,11229.0
253,2015-03-14,Brooklyn,11234.0
254,2015-03-15,Brooklyn,11221.0
255,2015-03-15,Queens,11434.0
256,2015-03-15,Brooklyn,11230.0
257,2015-03-15,Brooklyn,11205.0
258,2015-03-15,Bronx,10460.0
259,2015-03-16,Brooklyn,11221.0
260,2015-03-16,Queens,11411.0
261,2015-03-16,Brooklyn,11221.0
262,2015-03-16,Manhattan,
