"breed","breed_count"
"pit bull","411"
"mixed","156"
"german shepherd","146"
"shih tzu","141"
"american pit bull mix / pit bull mix","126"
"mixed breed","95"
"chihuahua","89"
"siberian husky","87"
"yorkshire terrier","87"
"maltese","82"
