,incident_date,breed,age,gender,spay_neuter_status,borough,zip_code
97,2015-01-31,chihuahua crossbreed,3.0,M,False,Brooklyn,
98,2015-02-01,american pit bull mix / pit bull mix,1.0,M,False,Queens,11373
99,2015-02-01,american staffordshire terrier,3.0,M,False,Queens,
100,2015-02-01,akita,6.0,F,True,Queens,11361
101,2015-02-02,shih tzu,5.0,M,False,Staten Island,
102,2015-02-02,pekingese,4.0,M,False,Brooklyn,11238
103,2015-02-02,pit bull,9.0,F,False,Queens,11693
104,2015-02-02,jack russell mix,2.0,M,True,Manhattan,
105,2015-02-02,pekingese,3.0,M,False,Bronx,10466
106,2015-02-02,,9.0,M,True,Bronx,10462
107,2015-02-02,yorkshire terrier,9.0,M,True,Queens,11357
108,2015-02-02,pit bull,6.0,M,False,Staten Island,10302
109,2015-02-03,american pit bull terrier/pit bull,11.0,M,False,Queens,11377
110,2015-02-03,german shepherd,6.0,M,True,Staten Island,10302
111,2015-02-04,american pit bull mix / pit bull mix,2.0,F,False,Manhattan,10029
112,2015-02-04,pomeranian,1.0,F,False,Brooklyn,11216
113,2015-02-05,pit bull,7.0,U,True,Bronx,10452
114,2015-02-05,mixed/other,4.0,M,False,Bronx,10452
115,2015-02-05,"jindo dog,",14.0,F,True,Bronx,10469
116,2015-02-06,shiba inu,3.0,M,False,Brooklyn,11252
117,2015-02-06,labrador retriever,6.0,F,False,Manhattan,
118,2015-02-06,pit bull,2.0,M,False,Bronx,10468
119,2015-02-06,shiba inu,3.0,M,False,Brooklyn,
120,2015-02-07,carolina dog,1.0,M,False,Bronx,10473
121,2015-02-07,pit bull,2.0,M,False,Bronx,
122,2015-02-07,welsh/corgi,6.0,F,True,Queens,11373
123,2015-02-07,pit bull,5.0,M,True,Brooklyn,11214
124,2015-02-07,rat terrier,5.0,M,True,Brooklyn,11208
125,2015-02-07,pit bull,0.0,M,False,Manhattan,10026
126,2015-02-07,pit bull,0.0,M,False,Manhattan,10026
127,2015-02-07,carolina dog,1.0,M,False,Bronx,10473
128,2015-02-08,siberian husky,1.0,M,False,Queens,11102
129,2015-02-08,shih tzu,1.0,F,False,Manhattan,10030
130,2015-02-08,cane corso,6.0,M,True,Manhattan,10010
131,2015-02-09,american pit bull mix / pit bull mix,2.0,F,True,Manhattan,10065
132,2015-02-09,"dachshund, long haired",9.0,M,False,Queens,11102
133,2015-02-09,chihuahua crossbreed,1.0,M,True,Manhattan,10025
134,2015-02-09,american staff/akita,4.0,F,False,Bronx,10467
135,2015-02-09,pit bull,0.0,M,False,Manhattan,10033
136,2015-02-09,mixed/other,0.0,F,False,Bronx,10472
137,2015-02-10,pit bull,1.0,M,False,Staten Island,10303
138,2015-02-10,victorian bulldog,0.0,M,False,Manhattan,10035
139,2015-02-11,american pit bull terrier/pit bull,6.0,M,False,Queens,11101
140,2015-02-11,american pit bull terrier/pit bull,5.0,M,False,Manhattan,10038
141,2015-02-11,staffordshire bull terrier,4.0,M,False,Brooklyn,11235
142,2015-02-11,rat terrier,13.0,F,True,Brooklyn,11209
143,2015-02-12,collie crossbreed,1.0,M,True,Manhattan,10022
144,2015-02-12,german shepherd,4.0,M,False,Brooklyn,11229
145,2015-02-13,bloodhound,8.0,M,True,Queens,11106
146,2015-02-13,"welsh corgi, pembroke",3.0,M,True,Manhattan,10034
147,2015-02-13,american pit bull terrier/pit bull,4.0,M,True,Brooklyn,11221
148,2015-02-14,podengo pequeno/mix,2.0,M,False,Manhattan,10002
149,2015-02-14,american pit bull mix / pit bull mix,1.0,M,False,Bronx,10456
150,2015-02-14,american pit bull mix / pit bull mix,4.0,M,False,Bronx,10456
151,2015-02-15,shiba inu,5.0,M,False,Bronx,10462
152,2015-02-15,american pit bull mix / pit bull mix,1.0,M,False,Brooklyn,11207
153,2015-02-15,pekingese,15.0,M,False,Bronx,10459
154,2015-02-16,siberian husky,5.0,M,False,Bronx,10463
155,2015-02-17,"poodle, standard",9.0,F,True,Manhattan,10022
156,2015-02-17,podengo pequeno/mix,2.0,M,False,Manhattan,10029
157,2015-02-17,american pit bull terrier/pit bull,5.0,M,False,Brooklyn,11207
158,2015-02-17,"poodle, standard",0.0,M,False,Queens,11369
159,2015-02-17,jack russ,6.0,M,True,Staten Island,10308
160,2015-02-17,german shepherd,3.0,M,True,Staten Island,10312
161,2015-02-18,pit bull,1.0,M,False,Staten Island,10305
162,2015-02-18,jack russ,8.0,M,False,Staten Island,10306
163,2015-02-18,yorkshire terrier,3.0,M,False,Brooklyn,11233
164,2015-02-19,pitbull/ lab,2.0,M,False,Manhattan,10044
165,2015-02-19,pit bull,2.0,M,False,Staten Island,10301
166,2015-02-19,springer spaniel,7.0,U,True,Brooklyn,11213
167,2015-02-19,pitbull/rhodesian,4.0,M,True,Manhattan,10021
168,2015-02-19,american eskimo,12.0,F,False,Queens,11370
169,2015-02-20,collie crossbreed,6.0,M,True,Manhattan,10023
170,2015-02-21,jack russ,3.0,M,True,Bronx,10464
171,2015-02-21,american pit bull mix / pit bull mix,1.0,M,False,Queens,11385
172,2015-02-21,american pit bull mix / pit bull mix,1.0,M,False,Queens,11385
173,2015-02-21,"poodle, standard",8.0,M,True,Queens,11368
174,2015-02-22,boston terrier,5.0,M,False,Queens,11417
175,2015-02-22,cocker spaniel,1.0,M,False,Bronx,10467
176,2015-02-22,fox hound,3.0,F,True,Brooklyn,11209
177,2015-02-23,lhasa apso,1.0,M,False,Manhattan,10029
