,incident_date,breed,age,gender,spay_neuter_status
131,2015-02-09,american pit bull mix / pit bull mix,2.0,F,True
132,2015-02-09,"dachshund, long haired",9.0,M,False
133,2015-02-09,chihuahua crossbreed,1.0,M,True
134,2015-02-09,american staff/akita,4.0,F,False
135,2015-02-09,pit bull,0.0,M,False
136,2015-02-09,mixed/other,0.0,F,False
137,2015-02-10,pit bull,1.0,M,False
138,2015-02-10,victorian bulldog,0.0,M,False
139,2015-02-11,american pit bull terrier/pit bull,6.0,M,False
140,2015-02-11,american pit bull terrier/pit bull,5.0,M,False
141,2015-02-11,staffordshire bull terrier,4.0,M,False
142,2015-02-11,rat terrier,13.0,F,True
143,2015-02-12,collie crossbreed,1.0,M,True
144,2015-02-12,german shepherd,4.0,M,False
145,2015-02-13,bloodhound,8.0,M,True
146,2015-02-13,"welsh corgi, pembroke",3.0,M,True
147,2015-02-13,american pit bull terrier/pit bull,4.0,M,True
148,2015-02-14,podengo pequeno/mix,2.0,M,False
149,2015-02-14,american pit bull mix / pit bull mix,1.0,M,False
150,2015-02-14,american pit bull mix / pit bull mix,4.0,M,False
151,2015-02-15,shiba inu,5.0,M,False
152,2015-02-15,american pit bull mix / pit bull mix,1.0,M,False
153,2015-02-15,pekingese,15.0,M,False
154,2015-02-16,siberian husky,5.0,M,False
155,2015-02-17,"poodle, standard",9.0,F,True
156,2015-02-17,podengo pequeno/mix,2.0,M,False
157,2015-02-17,american pit bull terrier/pit bull,5.0,M,False
158,2015-02-17,"poodle, standard",0.0,M,False
159,2015-02-17,jack russ,6.0,M,True
160,2015-02-17,german shepherd,3.0,M,True
161,2015-02-18,pit bull,1.0,M,False
162,2015-02-18,jack russ,8.0,M,False
163,2015-02-18,yorkshire terrier,3.0,M,False
164,2015-02-19,pitbull/ lab,2.0,M,False
165,2015-02-19,pit bull,2.0,M,False
166,2015-02-19,springer spaniel,7.0,U,True
167,2015-02-19,pitbull/rhodesian,4.0,M,True
168,2015-02-19,american eskimo,12.0,F,False
169,2015-02-20,collie crossbreed,6.0,M,True
170,2015-02-21,jack russ,3.0,M,True
171,2015-02-21,american pit bull mix / pit bull mix,1.0,M,False
172,2015-02-21,american pit bull mix / pit bull mix,1.0,M,False
173,2015-02-21,"poodle, standard",8.0,M,True
174,2015-02-22,boston terrier,5.0,M,False
175,2015-02-22,cocker spaniel,1.0,M,False
176,2015-02-22,fox hound,3.0,F,True
177,2015-02-23,lhasa apso,1.0,M,False
178,2015-02-23,maltese,5.0,M,True
179,2015-02-23,collie crossbreed,6.0,M,False
180,2015-02-24,pit bull,1.0,F,False
181,2015-02-24,mixed/other,7.0,M,True
182,2015-02-24,shih tzu,3.0,M,True
183,2015-02-24,rottweiler,1.0,U,False
184,2015-02-24,bichon frise,1.0,M,False
185,2015-02-25,pointer,2.0,M,True
186,2015-02-26,pit bull,2.0,M,False
187,2015-02-26,pit bull,1.0,M,False
188,2015-02-27,pit bull,4.0,M,True
189,2015-02-27,"mastiff, bull",4.0,F,True
190,2015-02-27,black mouth cur,4.0,M,False
191,2015-02-27,american pit bull terrier/pit bull,3.0,M,False
192,2015-02-27,akita,7.0,F,False
193,2015-02-27,"bull dog, english",3.0,M,True
194,2015-02-28,shiba inu,1.0,U,False
195,2015-02-28,american pit bull mix / pit bull mix,2.0,M,False
196,2015-02-28,boston terrier,8.0,M,True
197,2015-02-28,weimaraner,11.0,M,True
198,2015-02-28,"welsh corgi, pembroke",9.0,M,False
199,2015-02-28,havanese/ poodle mix,1.0,F,True
200,2015-02-28,siberian husky,1.0,M,False
201,2015-02-28,american staffordshire terrier,3.0,M,False
202,2015-03-01,shih tzu,2.0,M,False
203,2015-03-01,lab mix,0.0,M,False
204,2015-03-01,"poodle, toy",14.0,F,True
205,2015-03-01,american pit bull mix / pit bull mix,6.0,F,True
206,2015-03-02,rhodesian ridgeback/ terrier,8.0,M,True
207,2015-03-02,mixed/other,6.0,M,False
208,2015-03-02,bull dog,1.0,M,False
209,2015-03-03,staffordshire mix,3.0,M,False
210,2015-03-03,staffordshire mix,3.0,M,False
211,2015-03-03,staffordshire mix,3.0,M,False
212,2015-03-03,staffordshire mix,3.0,M,False
213,2015-03-03,"poodle, toy",7.0,F,True
214,2015-03-03,pit bull,4.0,F,True
215,2015-03-05,pomeranian,6.0,M,True
216,2015-03-05,boston terrier,1.0,M,True
217,2015-03-05,beagle,4.0,M,True
218,2015-03-05,bichon frise,2.0,M,False
219,2015-03-06,cocker spaniel crossbreed,4.0,M,False
220,2015-03-06,cairn terrier,1.0,F,True
221,2015-03-06,labrador retriever,2.0,M,False
222,2015-03-06,yorkshire terrier crossbreed,2.0,F,False
223,2015-03-06,mutt,1.0,M,True
224,2015-03-07,rottweiler,3.0,M,False
225,2015-03-07,cocker spaniel,8.0,M,False
226,2015-03-07,pit bull,2.0,M,True
227,2015-03-07,"bull dog, english",2.0,M,True
228,2015-03-07,bulldog/sharpei,11.0,M,True
229,2015-03-07,rottweiler,3.0,M,False
230,2015-03-07,rottweiler,3.0,M,False
231,2015-03-08,labrador retriever crossbreed,2.0,M,True
232,2015-03-08,,4.0,M,True
233,2015-03-08,english cocker spaniel,1.0,M,False
234,2015-03-08,shih tzu,4.0,M,False
235,2015-03-09,american pit bull mix / pit bull mix,1.0,F,False
236,2015-03-11,chow/golden retriever,7.0,M,True
237,2015-03-11,pit bull,1.0,M,False
238,2015-03-12,pit bull,5.0,F,True
239,2015-03-12,boston terrier,5.0,M,True
240,2015-03-12,jack russ,0.0,M,False
241,2015-03-12,chihuahua,1.0,M,True
242,2015-03-12,german shepherd,1.0,M,True
243,2015-03-13,border collie mix,3.0,F,True
244,2015-03-13,pug,6.0,M,True
245,2015-03-13,australian border collie,4.0,M,True
246,2015-03-13,american pit bull mix / pit bull mix,2.0,F,True
247,2015-03-14,chihuahua,3.0,M,True
248,2015-03-14,westy,7.0,F,False
249,2015-03-14,american pit bull mix / pit bull mix,8.0,F,True
250,2015-03-14,poodle,8.0,M,False
251,2015-03-14,poodle,2.0,F,False
252,2015-03-14,shepherd mix,5.0,M,True
253,2015-03-14,chow chow,3.0,M,False
254,2015-03-15,chihuahua,6.0,M,False
255,2015-03-15,pit bull,2.0,F,True
256,2015-03-15,american staffordshire terrier,8.0,M,True
257,2015-03-15,yorkshire terrier,4.0,M,False
258,2015-03-15,terrier mix,2.0,M,False
259,2015-03-16,maltese,7.0,M,True
260,2015-03-16,labrador retriever,6.0,F,True
261,2015-03-16,yorkshire terrier,1.0,M,False
262,2015-03-16,puggle,9.0,M,True
263,2015-03-16,american bulldog,3.0,F,True
264,2015-03-16,american pit bull mix / pit bull mix,2.0,M,True
265,2015-03-17,pit bull,5.0,F,True
266,2015-03-17,bull dog,5.0,M,True
267,2015-03-17,american pit bull terrier/pit bull,4.0,M,False
268,2015-03-18,american pit bull terrier/pit bull,5.0,M,True
269,2015-03-18,siberian husky,4.0,M,False
270,2015-03-18,havanese,9.0,M,True
271,2015-03-18,maltese,1.0,F,False
272,2015-03-18,american pit bull terrier/pit bull,2.0,M,False
273,2015-03-18,chihuahua,4.0,M,False
274,2015-03-19,pit bull,1.0,F,False
275,2015-03-21,chihuahua shorthair/ jack russell terrier,3.0,M,False
276,2015-03-21,dachshund,11.0,F,True
277,2015-03-21,"bull dog, french",6.0,M,True
278,2015-03-21,doberman pinscher,8.0,F,False
279,2015-03-22,"mastiff, bull",8.0,M,True
280,2015-03-22,american pit bull terrier/pit bull,2.0,F,False
281,2015-03-22,american pit bull terrier/pit bull,2.0,F,True
282,2015-03-22,shih tzu,7.0,M,True
283,2015-03-22,shih tzu,2.0,M,False
284,2015-03-22,akita,1.0,M,False
285,2015-03-22,german shepherd,5.0,F,True
286,2015-03-23,norwich terrier,2.0,M,False
287,2015-03-23,chihuahua,1.0,M,False
288,2015-03-23,cotton de tulear,5.0,M,False
289,2015-03-24,mixed/other,1.0,F,True
290,2015-03-24,shih tzu,1.0,M,True
291,2015-03-24,boxer x w/ pit bull,8.0,M,True
292,2015-03-24,"poodle, standard",0.0,F,False
293,2015-03-25,maltese,3.0,F,False
294,2015-03-25,terrier,5.0,M,False
295,2015-03-25,cocker spaniel,15.0,M,True
296,2015-03-25,american bull,1.0,F,False
297,2015-03-25,toy yorkie,4.0,M,True
298,2015-03-26,pit bull,4.0,F,False
299,2015-03-26,siberian husky,3.0,M,True
300,2015-03-26,pit bull,1.0,F,False
301,2015-03-26,"jindo dog,",3.0,M,True
