,incident_date,breed,borough
1743,2016-01-14,havanese/ shih tzu,Manhattan
1744,2016-01-14,mini poodle x,Manhattan
1745,2016-01-15,chihuahua,Manhattan
1746,2016-01-15,pit bull/ american bully,Brooklyn
1747,2016-01-16,pit bull,Bronx
1748,2016-01-16,pit bull,Queens
1749,2016-01-16,american pit bull terrier/pit bull,Manhattan
1750,2016-01-16,shih tzu,Bronx
1751,2016-01-17,american pit bull mix / pit bull mix,Brooklyn
1752,2016-01-17,american pit bull terrier/pit bull,Manhattan
1753,2016-01-18,pit bull,Queens
1754,2016-01-18,boston terrier,Brooklyn
1755,2016-01-18,chihuahua crossbreed,Brooklyn
1756,2016-01-18,pit bull,Queens
1757,2016-01-19,american pit bull terrier/pit bull,Brooklyn
1758,2016-01-19,mixed/other,Queens
1759,2016-01-19,labrador retriever,Queens
1760,2016-01-19,pit bull,Bronx
1761,2016-01-20,puggle,Manhattan
1762,2016-01-20,chihuahua,Brooklyn
1763,2016-01-20,basenji,Manhattan
1764,2016-01-21,chihuahua,Brooklyn
1765,2016-01-21,rottweiler,Brooklyn
1766,2016-01-21,persa canario,Brooklyn
1767,2016-01-21,jack russ,Brooklyn
1768,2016-01-21,amer staff/am pit bull terr,Queens
1769,2016-01-21,shih tzu,Manhattan
1770,2016-01-21,rottweiler,Brooklyn
1771,2016-01-21,pit bull,Staten Island
1772,2016-01-22,american pit bull mix / pit bull mix,Brooklyn
1773,2016-01-22,victorian bulldog,Staten Island
1774,2016-01-22,pit bull,Staten Island
1775,2016-01-23,american pit bull mix / pit bull mix,Manhattan
1776,2016-01-23,american pit bull mix / pit bull mix,Manhattan
1777,2016-01-23,shih tzu,Staten Island
1778,2016-01-23,shih tzu,Staten Island
1779,2016-01-23,chihuahua,Brooklyn
1780,2016-01-23,jack russell x,Brooklyn
1781,2016-01-23,pit bull,Queens
1782,2016-01-23,jack russ,Queens
1783,2016-01-23,pekingese,Bronx
1784,2016-01-24,"schnauzer, standard",Queens
1785,2016-01-24,chihuahua,Manhattan
1786,2016-01-24,pit bull,Queens
1787,2016-01-24,westie/poodle,Manhattan
1788,2016-01-24,labrador retriever,Queens
1789,2016-01-24,german shepherd,Queens
1790,2016-01-24,maltese,Bronx
1791,2016-01-25,jack russ,Bronx
1792,2016-01-25,yorkie/bichon,Queens
1793,2016-01-26,maltese,Queens
1794,2016-01-27,beagle/lab x,Brooklyn
1795,2016-01-27,mixed/other,Manhattan
1796,2016-01-27,maltese,Bronx
1797,2016-01-28,schipperkee,Bronx
1798,2016-01-28,pit bull,Queens
1799,2016-01-28,"shar-pei, chinese",Bronx
1800,2016-01-29,jack russ,Manhattan
1801,2016-01-29,chihuahua,Bronx
1802,2016-01-30,pit bull,Bronx
1803,2016-01-30,pit bull,Bronx
1804,2016-01-30,chihuahua,Bronx
1805,2016-01-31,chihuahua/shih tzu x,Bronx
1806,2016-01-31,lhasa apso,Manhattan
1807,2016-01-31,yorkshire terrier,Manhattan
1808,2016-01-31,shih tzu,Bronx
1809,2016-01-31,vizsla/lab/pit,Manhattan
1810,2016-01-31,german shepherd,Queens
1811,2016-02-01,chihuahua,Queens
1812,2016-02-01,american pit bull mix / pit bull mix,Staten Island
1813,2016-02-01,american pit bull mix / pit bull mix,Manhattan
1814,2016-02-02,puli,Bronx
1815,2016-02-02,belgian shepherd,Brooklyn
1816,2016-02-02,american pit bull terrier/pit bull,Brooklyn
1817,2016-02-03,australian cattle dog,Manhattan
1818,2016-02-03,pit bull,Bronx
1819,2016-02-04,labrador retriever crossbreed,Queens
1820,2016-02-04,pit bull,Staten Island
1821,2016-02-04,bernese mountain,Brooklyn
1822,2016-02-04,yorkshire terrier,Bronx
1823,2016-02-04,chihuahua,Brooklyn
1824,2016-02-04,boston terrier,Brooklyn
1825,2016-02-05,shih tzu,Queens
1826,2016-02-05,pit bull,Manhattan
1827,2016-02-06,chihuahua,Queens
1828,2016-02-06,american bully,Queens
1829,2016-02-06,silky terrier,Brooklyn
1830,2016-02-06,pit bull,Bronx
1831,2016-02-07,collie,Manhattan
1832,2016-02-07,dachshund smooth coat,Manhattan
1833,2016-02-07,american pit bull mix / pit bull mix,Queens
1834,2016-02-07,mixed/other,Queens
1835,2016-02-08,american pit bull mix / pit bull mix,Queens
1836,2016-02-08,cocker spaniel,Queens
1837,2016-02-08,american pit bull mix / pit bull mix,Manhattan
1838,2016-02-08,golden retr/lab x,Queens
1839,2016-02-09,pit bull,Queens
1840,2016-02-09,beagle -x,Queens
1841,2016-02-09,shih tzu,Manhattan
1842,2016-02-09,pit bull,Brooklyn
1843,2016-02-10,american pit bull mix / pit bull mix,Brooklyn
1844,2016-02-10,labrador retriever,Brooklyn
1845,2016-02-10,chihuahua,Bronx
1846,2016-02-10,shih tzu,Manhattan
1847,2016-02-11,american pit bull terrier/pit bull,Brooklyn
1848,2016-02-11,chow chow,Manhattan
1849,2016-02-11,maltese x,Queens
1850,2016-02-12,chihuahua,Queens
1851,2016-02-12,jack russ,Manhattan
1852,2016-02-13,maltese,Brooklyn
1853,2016-02-13,yorkshire terrier,Queens
1854,2016-02-13,american pit bull mix / pit bull mix,Brooklyn
1855,2016-02-13,rottweiler,Manhattan
1856,2016-02-13,boxer,Staten Island
1857,2016-02-13,american pit ter/labrador retr,Manhattan
1858,2016-02-14,siberian husky,Queens
1859,2016-02-14,golden retriever,Queens
1860,2016-02-14,can terrier mix,Manhattan
1861,2016-02-14,american pit bull terrier/pit bull,Manhattan
1862,2016-02-15,wheaton terrier,Queens
1863,2016-02-15,yorkshire terrier,Brooklyn
1864,2016-02-16,west high white terrier,Queens
1865,2016-02-16,yorkshire terrier crossbreed,Brooklyn
1866,2016-02-16,siberian husky,Bronx
1867,2016-02-16,pit bull,Bronx
1868,2016-02-16,bull dog pug mix,Staten Island
1869,2016-02-16,australian cattle dog mix,Manhattan
1870,2016-02-17,pit bull,Queens
1871,2016-02-17,labrador retr/pit bull x,Brooklyn
1872,2016-02-17,rottweiler,Bronx
1873,2016-02-18,chihuahua,Manhattan
1874,2016-02-18,pit bull,Manhattan
1875,2016-02-18,west highland terr,Manhattan
1876,2016-02-18,aust terrier/ yorkie,Bronx
1877,2016-02-18,wheaton terrier,Queens
1878,2016-02-18,australian cattle blue heeler x,Brooklyn
1879,2016-02-18,german shepherd,Brooklyn
1880,2016-02-19,yorkshire terrier,Queens
1881,2016-02-19,yorkie poo,Manhattan
1882,2016-02-19,dachshund/ chihuahua,Bronx
1883,2016-02-19,chihuahua/terrier,Manhattan
1884,2016-02-19,bull dog,Manhattan
1885,2016-02-20,siberian husky,Bronx
1886,2016-02-20,pit bull,Queens
1887,2016-02-20,,Queens
1888,2016-02-20,"poodle, standard",Queens
1889,2016-02-21,pit bull,Queens
1890,2016-02-21,pit bull,Queens
1891,2016-02-21,shih tzu/ lhasa apso,Queens
1892,2016-02-21,shepherd x,Manhattan
1893,2016-02-21,bichon frise,Manhattan
1894,2016-02-21,pit bull,Queens
1895,2016-02-21,amer staff/lab x,Brooklyn
1896,2016-02-22,dalmatian,Brooklyn
1897,2016-02-22,beligum/german shep x,Brooklyn
1898,2016-02-22,pit bull,Queens
1899,2016-02-23,cocker spaniel crossbreed,Brooklyn
1900,2016-02-24,king charles cavlier,Queens
1901,2016-02-24,labrador retriever,Manhattan
1902,2016-02-24,american pit bull terrier/pit bull,Brooklyn
1903,2016-02-25,boxer/cattle,Staten Island
1904,2016-02-25,pit bull,Bronx
1905,2016-02-25,bull dog,Manhattan
1906,2016-02-25,lab/collie x,Brooklyn
1907,2016-02-25,american pit bull mix / pit bull mix,Brooklyn
1908,2016-02-25,shar-pei/pit bull,Bronx
1909,2016-02-25,border terrier,Brooklyn
1910,2016-02-25,patterdale terrier,Manhattan
1911,2016-02-26,pitbull/lab mix,Manhattan
1912,2016-02-26,shiba inu,Queens
1913,2016-02-27,chihuahua,Staten Island
1914,2016-02-27,labrador retriever,Queens
1915,2016-02-27,american pit bull mix / pit bull mix,Manhattan
1916,2016-02-28,miniature pinscher,Brooklyn
1917,2016-02-28,australian cattle dog,Manhattan
1918,2016-02-28,yorkshire terrier,Brooklyn
1919,2016-02-29,shih tzu/maltese x,Brooklyn
1920,2016-02-29,miniature pinscher,Manhattan
1921,2016-02-29,chihuahua/pug x,Bronx
1922,2016-03-01,"schnauzer, standard",Bronx
1923,2016-03-01,golden retriever,Manhattan
1924,2016-03-01,pit bull/boxer,Staten Island
1925,2016-03-01,havanese,Staten Island
1926,2016-03-01,pit bull,Queens
1927,2016-03-02,chihuahua/dachschund,Manhattan
1928,2016-03-02,american staffordshire terrier,Queens
1929,2016-03-02,chihuahua,Queens
1930,2016-03-02,labrador retriever,Manhattan
1931,2016-03-03,"mastiff, bull",Bronx
1932,2016-03-03,cairn terrier,Manhattan
1933,2016-03-03,schnoodle,Staten Island
1934,2016-03-04,chow chow,Bronx
1935,2016-03-04,german shepherd,Manhattan
1936,2016-03-04,"collie, border",Bronx
1937,2016-03-04,rat terrier,Brooklyn
1938,2016-03-05,beagle,Queens
1939,2016-03-05,cane corso,Queens
1940,2016-03-05,pit bull,Brooklyn
1941,2016-03-05,american pit bull terrier/pit bull,Brooklyn
1942,2016-03-06,rottweiler,Queens
1943,2016-03-06,pit bull,Queens
1944,2016-03-06,pit bull,Bronx
1945,2016-03-06,chow chow,Queens
1946,2016-03-06,siberian husky,Queens
1947,2016-03-07,yorkshire terrier,Bronx
1948,2016-03-08,golden retriever/ rottweiler,Manhattan
1949,2016-03-08,chihuahua,Queens
1950,2016-03-08,labrador retriever,Staten Island
1951,2016-03-09,pit bull,Bronx
1952,2016-03-09,labrador retriever,Staten Island
1953,2016-03-10,lab/pit bull x,Queens
1954,2016-03-10,pit bull,Brooklyn
1955,2016-03-10,shiba inu,Brooklyn
1956,2016-03-10,,Bronx
1957,2016-03-10,pit bull,Queens
1958,2016-03-10,pit bull,Brooklyn
1959,2016-03-11,jack russell/chihuahua x,Brooklyn
1960,2016-03-11,basset hound mix,Manhattan
1961,2016-03-11,staffordshire bull terrier,Queens
1962,2016-03-12,shiba inu,Brooklyn
1963,2016-03-12,german shepherd,Queens
1964,2016-03-12,american pit bull mix / pit bull mix,Brooklyn
1965,2016-03-12,shepherd mix,Queens
1966,2016-03-12,chihuahua crossbreed,Queens
1967,2016-03-12,husky x,Queens
1968,2016-03-13,miniature pinscher,Queens
1969,2016-03-13,,Queens
1970,2016-03-13,american staffordshire terrier,Queens
1971,2016-03-13,american pit bull mix / pit bull mix,Manhattan
1972,2016-03-13,chihuahua crossbreed,Bronx
1973,2016-03-13,beagle/jack russell,Manhattan
1974,2016-03-13,pug,Brooklyn
1975,2016-03-13,american pit bull mix / pit bull mix,Queens
1976,2016-03-14,american pit bull mix / pit bull mix,Brooklyn
1977,2016-03-15,bull dog x - collie,Queens
1978,2016-03-15,shih tzu,Manhattan
1979,2016-03-15,australian shepherd,Manhattan
1980,2016-03-15,labrador retriever crossbreed,Brooklyn
1981,2016-03-16,dachshund smooth coat miniature,Queens
1982,2016-03-16,poodle,Brooklyn
1983,2016-03-16,australian sheep dog,Bronx
1984,2016-03-17,yorkshire terrier,Staten Island
1985,2016-03-17,german shepherd crossbreed,Brooklyn
1986,2016-03-17,morkie,Manhattan
1987,2016-03-17,american staffordshire terrier,Manhattan
1988,2016-03-18,shepherd mix,Brooklyn
1989,2016-03-18,labrador retriever crossbreed,Bronx
1990,2016-03-18,pit bull,Bronx
1991,2016-03-19,australian shepherd,Staten Island
1992,2016-03-19,american pit bull terrier/pit bull,Brooklyn
1993,2016-03-19,"bull dog, english",Brooklyn
1994,2016-03-19,schnoodle,Manhattan
1995,2016-03-19,staffordshire bull terrier,Bronx
1996,2016-03-21,lhasa apso,Bronx
1997,2016-03-21,labrador mix,Queens
1998,2016-03-22,chihuahua,Staten Island
1999,2016-03-22,markey,Queens
2000,2016-03-22,maltese,Manhattan
2001,2016-03-22,lhasa apso,Bronx
2002,2016-03-22,pit bull,Bronx
2003,2016-03-23,pit bull,Queens
2004,2016-03-23,dachschund mix,Queens
2005,2016-03-23,american pitbull/ labrador retriever,Manhattan
2006,2016-03-23,"bull dog, french",Brooklyn
2007,2016-03-23,chihuahua crossbreed,Bronx
2008,2016-03-23,staffordshire bull terrier,Bronx
2009,2016-03-23,pit bull,Bronx
2010,2016-03-24,boston terrier,Queens
2011,2016-03-24,yorkshire terrier,Manhattan
2012,2016-03-24,shih tzu,Bronx
2013,2016-03-24,dachshund smooth coat miniature,Queens
2014,2016-03-25,bull dog,Manhattan
2015,2016-03-25,jack russ terr x- chihuahua,Brooklyn
2016,2016-03-25,irish wolfhound,Manhattan
2017,2016-03-25,,Queens
2018,2016-03-26,"schnauzer, standard",Brooklyn
2019,2016-03-26,"pointer, german shorthaired",Staten Island
2020,2016-03-26,cairn terrier x,Staten Island
2021,2016-03-26,jack russ,Manhattan
2022,2016-03-26,pit bull,Manhattan
2023,2016-03-26,pit bull,Staten Island
2024,2016-03-26,terrier,Manhattan
2025,2016-03-26,pit bull,Bronx
2026,2016-03-26,american staffordshire terrier,Bronx
2027,2016-03-28,cairn terrier,Brooklyn
2028,2016-03-28,chihuahua,Bronx
2029,2016-03-28,"poodle, miniature",Queens
2030,2016-03-28,wheaton terrier,Queens
2031,2016-03-29,pit bull,Bronx
2032,2016-03-29,terrier mix,Manhattan
2033,2016-03-29,pit bull,Staten Island
2034,2016-03-30,shih tzu,Queens
2035,2016-03-30,boxer,Brooklyn
2036,2016-03-30,chihuahua,Queens
2037,2016-03-30,dogo argentino x,Brooklyn
2038,2016-03-31,pit bull,Queens
2039,2016-04-01,pit bull,Queens
2040,2016-04-01,terrier/rottweiler x,Brooklyn
2041,2016-04-01,american pit bull terrier/pit bull,Brooklyn
2042,2016-04-02,chihuahua,Bronx
2043,2016-04-02,shih tzu,Bronx
2044,2016-04-02,pit bull,Bronx
2045,2016-04-02,pit bull,Queens
2046,2016-04-02,bull dog,Staten Island
2047,2016-04-02,maltipoo,Manhattan
2048,2016-04-02,cocker spaniel,Bronx
2049,2016-04-03,west high white terrier,Manhattan
2050,2016-04-03,maltese,Manhattan
2051,2016-04-03,boxer,Staten Island
2052,2016-04-04,vizsla,Manhattan
2053,2016-04-04,maltese x,Brooklyn
2054,2016-04-05,mutt,Staten Island
2055,2016-04-05,rottweiler,Staten Island
2056,2016-04-05,mixed/other,Manhattan
2057,2016-04-05,west highland terrier/ yorkshire terrier,Manhattan
2058,2016-04-05,american pit bull mix / pit bull mix,Brooklyn
2059,2016-04-05,maltese,Queens
2060,2016-04-06,american pit bull terrier/pit bull,Brooklyn
2061,2016-04-07,dachshund smooth coat miniature,Brooklyn
2062,2016-04-07,"poodle, toy",Queens
2063,2016-04-07,pit bull,Bronx
2064,2016-04-07,pit bull,Manhattan
2065,2016-04-07,staffordshire terrier/pitbull mix,Brooklyn
2066,2016-04-07,pit bull,Brooklyn
2067,2016-04-07,american pit bull mix / pit bull mix,Brooklyn
2068,2016-04-07,american pit bull mix / pit bull mix,Brooklyn
2069,2016-04-08,pit bull,Brooklyn
2070,2016-04-08,pit bull,Queens
2071,2016-04-08,schnauzer/shih tzu x,Queens
2072,2016-04-08,pomski,Manhattan
2073,2016-04-08,american pit bull mix / pit bull mix,Manhattan
2074,2016-04-08,maltese,Manhattan
2075,2016-04-08,rottweiler,Queens
2076,2016-04-09,mutt,Bronx
2077,2016-04-09,boxer/pitbull mix,Manhattan
2078,2016-04-09,rottweiler,Manhattan
2079,2016-04-09,collie/terrier mix,Manhattan
2080,2016-04-09,dachshund smooth coat,Manhattan
2081,2016-04-10,"poodle, miniature",Queens
2082,2016-04-10,corgi,Brooklyn
2083,2016-04-11,american pit bull mix / pit bull mix,Brooklyn
2084,2016-04-11,chihuahua,Queens
2085,2016-04-11,pit bull,Queens
2086,2016-04-12,mixed/other,Manhattan
2087,2016-04-12,pit bull mix,Queens
2088,2016-04-12,labrador retriever,Manhattan
2089,2016-04-12,yorkshire terrier,Bronx
2090,2016-04-12,maltese,Manhattan
2091,2016-04-12,american pit bull mix / pit bull mix,Staten Island
2092,2016-04-13,bichon frise,Manhattan
2093,2016-04-13,pit bull,Staten Island
2094,2016-04-14,"poodle, miniature",Queens
2095,2016-04-14,doberman pinscher,Staten Island
2096,2016-04-14,pharoh hound,Brooklyn
2097,2016-04-14,pekingese,Brooklyn
2098,2016-04-14,jack russ,Staten Island
2099,2016-04-15,pit bull,Bronx
2100,2016-04-15,labrador retriever crossbreed,Staten Island
2101,2016-04-15,pit bull,Bronx
2102,2016-04-15,labrador retriever,Manhattan
2103,2016-04-15,pomeranian,Manhattan
2104,2016-04-15,lhasa apso/maltese,Brooklyn
2105,2016-04-15,shih tzu,Queens
2106,2016-04-15,pit bull,Manhattan
2107,2016-04-16,chihuahua,Bronx
2108,2016-04-16,yorkshire terrier crossbreed,Bronx
2109,2016-04-16,rotweiller/labrador retriever,Manhattan
2110,2016-04-16,silky terrier,Bronx
2111,2016-04-16,american staffordshire terrier,Manhattan
2112,2016-04-17,labrador retriever crossbreed,Brooklyn
2113,2016-04-17,yorkshire terrier,Queens
2114,2016-04-17,beagle crossbreed,Brooklyn
2115,2016-04-17,red-nosed pit bull,Queens
2116,2016-04-17,rottweiler,Staten Island
2117,2016-04-17,american pit bull terrier/pit bull,Manhattan
2118,2016-04-18,american pit bull mix / pit bull mix,Queens
2119,2016-04-18,"mastiff, bull",Queens
2120,2016-04-18,rhodesian ridgeback,Brooklyn
2121,2016-04-18,shih tzu,Staten Island
2122,2016-04-18,pit bull,Bronx
2123,2016-04-19,"collie, border",Brooklyn
2124,2016-04-19,pit bull,Staten Island
2125,2016-04-19,pit bull,Brooklyn
2126,2016-04-19,american pit bull terrier/pit bull,Brooklyn
2127,2016-04-19,australian cattle dog,Manhattan
2128,2016-04-19,beagle,Brooklyn
2129,2016-04-20,pit bull,Staten Island
2130,2016-04-20,pit bull,Brooklyn
2131,2016-04-20,pit bull,Bronx
2132,2016-04-20,pit bull,Queens
2133,2016-04-20,chihuahua,Bronx
2134,2016-04-20,pit bull,Bronx
2135,2016-04-21,shepard x,Brooklyn
2136,2016-04-21,pit bull,Brooklyn
2137,2016-04-22,maltese/ french poodle mix,Queens
2138,2016-04-22,german pinscher,Queens
2139,2016-04-22,labrador retriever crossbreed,Staten Island
2140,2016-04-23,,Queens
2141,2016-04-23,german shepherd,Manhattan
2142,2016-04-23,pit bull,Bronx
2143,2016-04-23,whippet mix,Queens
2144,2016-04-23,american bully,Staten Island
2145,2016-04-23,maltese,Brooklyn
2146,2016-04-24,german shepherd,Bronx
2147,2016-04-24,pit bull,Staten Island
2148,2016-04-24,mixed/other,Queens
2149,2016-04-24,pit bull,Bronx
2150,2016-04-25,terrier,Manhattan
2151,2016-04-25,german shepherd crossbreed,Manhattan
2152,2016-04-25,shih tzu,Queens
2153,2016-04-25,blue nosed pit bull,Brooklyn
2154,2016-04-25,daschund,Queens
2155,2016-04-26,"dachshund, long haired",Manhattan
2156,2016-04-26,french poodle,Bronx
2157,2016-04-26,labrador retriever crossbreed,Staten Island
2158,2016-04-27,pit bull,Bronx
2159,2016-04-27,mixed/other,Queens
2160,2016-04-27,schnauzer/poodle,Staten Island
2161,2016-04-27,australian shepherd,Staten Island
2162,2016-04-27,maltese,Manhattan
2163,2016-04-27,pit bull,Bronx
2164,2016-04-27,mini. schnauzer mix,Queens
2165,2016-04-28,pit bull,Bronx
2166,2016-04-28,pit bull,Bronx
2167,2016-04-28,yorkshire terrier,Bronx
2168,2016-04-28,american staffordshire terrier,Queens
2169,2016-04-28,american pit bull terrier/pit bull,Queens
2170,2016-04-28,mixed/other,Queens
2171,2016-04-29,shih tzu/poodle,Queens
2172,2016-04-29,cane corso,Queens
2173,2016-04-29,,Bronx
2174,2016-04-29,yorkshire terrier crossbreed,Brooklyn
2175,2016-04-29,german shepard/ labrador retriever x,Staten Island
2176,2016-04-30,pit bull,Bronx
2177,2016-04-30,border terrier,Staten Island
2178,2016-04-30,pitbull/ labrador mix,Staten Island
2179,2016-04-30,chihuahua,Brooklyn
2180,2016-04-30,dachshund smooth coat,Queens
2181,2016-04-30,labradoodle,Queens
2182,2016-04-30,boxer,Staten Island
2183,2016-04-30,boxer,Manhattan
2184,2016-04-30,pit bull,Bronx
2185,2016-04-30,mastiff mix,Manhattan
2186,2016-04-30,chihuahua,Queens
2187,2016-04-30,pit bull,Bronx
2188,2016-04-30,pit bull,Bronx
2189,2016-05-01,yorkshire terrier,Queens
2190,2016-05-01,chihuahua,Bronx
2191,2016-05-01,shih tzu,Bronx
2192,2016-05-02,cavashu,Queens
2193,2016-05-02,dalmatian,Brooklyn
2194,2016-05-02,yorkshire terrier,Queens
2195,2016-05-03,cocker spaniel,Brooklyn
2196,2016-05-03,labrador retriever,Staten Island
2197,2016-05-03,pitbull/boxer mix,Queens
2198,2016-05-03,american staffordshire terrier,Queens
2199,2016-05-03,bull dog,Staten Island
2200,2016-05-04,"poodle, standard",Manhattan
2201,2016-05-04,pit bull,Staten Island
2202,2016-05-04,american pit bull terrier/pit bull,Queens
2203,2016-05-05,west high white terrier,Queens
2204,2016-05-05,rottweiler,Bronx
2205,2016-05-05,lhasa apso,Queens
2206,2016-05-05,irish wolfhound/german shepherd,Manhattan
2207,2016-05-05,american pit bull mix / pit bull mix,Staten Island
2208,2016-05-05,lab. ret./hound mix,Manhattan
2209,2016-05-05,american pit bull mix / pit bull mix,Brooklyn
2210,2016-05-05,shih tzu,Queens
2211,2016-05-07,"schnauzer, giant",Queens
2212,2016-05-07,chihuahua,Queens
2213,2016-05-08,pit bull,Bronx
2214,2016-05-08,cocker spaniel,Bronx
2215,2016-05-08,bull dog,Queens
2216,2016-05-08,american pit bull terrier/pit bull,Manhattan
2217,2016-05-08,maltese,Manhattan
2218,2016-05-08,pit bull,Bronx
2219,2016-05-09,american pit bull mix / pit bull mix,Brooklyn
2220,2016-05-09,pit bull,Brooklyn
2221,2016-05-09,pit bull,Queens
2222,2016-05-09,shih tzu,Staten Island
2223,2016-05-09,havanese,Manhattan
2224,2016-05-10,golden retriever,Brooklyn
2225,2016-05-10,german shepherd crossbreed,Staten Island
2226,2016-05-10,shih tzu,Brooklyn
2227,2016-05-10,"poodle, toy",Bronx
2228,2016-05-11,chihuahua crossbreed,Manhattan
2229,2016-05-11,pit bull,Manhattan
2230,2016-05-11,jack russ,Brooklyn
2231,2016-05-11,american pit bull mix / pit bull mix,Brooklyn
2232,2016-05-11,shih tzu,Bronx
2233,2016-05-12,rottweiler,Brooklyn
2234,2016-05-12,poodle x,Brooklyn
2235,2016-05-12,beagle crossbreed,Brooklyn
2236,2016-05-12,yorkshire terrier,Queens
2237,2016-05-12,bull dog,Bronx
2238,2016-05-12,jack russ,Bronx
2239,2016-05-12,shih tzu,Queens
2240,2016-05-13,chihuahua,Bronx
2241,2016-05-14,pit bull,Brooklyn
2242,2016-05-14,maltese,Queens
2243,2016-05-14,chihuahua,Manhattan
2244,2016-05-15,pit bull,Brooklyn
2245,2016-05-15,scottie/lhasa ahpso,Manhattan
2246,2016-05-16,german shepherd,Queens
2247,2016-05-16,labrador retriever,Manhattan
2248,2016-05-16,beagle crossbreed,Queens
2249,2016-05-17,american staffordshire terrier,Brooklyn
2250,2016-05-17,pit bull,Staten Island
2251,2016-05-17,rottweiler,Brooklyn
2252,2016-05-18,chihuahua,Queens
2253,2016-05-19,american pit bull mix / pit bull mix,Staten Island
2254,2016-05-19,pit bull,Brooklyn
2255,2016-05-19,pit bull,Brooklyn
2256,2016-05-20,alaskan klee kai,Staten Island
2257,2016-05-20,shih tzu,Staten Island
2258,2016-05-20,"collie, bearded",Staten Island
2259,2016-05-20,mixed/other,Brooklyn
2260,2016-05-20,shih tzu mix,Manhattan
2261,2016-05-20,pit bull,Queens
2262,2016-05-20,pit bull,Queens
2263,2016-05-20,pit bull,Bronx
2264,2016-05-20,pit bull,Bronx
2265,2016-05-20,rottweiler,Bronx
2266,2016-05-20,pit bull,Bronx
2267,2016-05-20,"poodle, miniature",Manhattan
2268,2016-05-20,american staffordshire terrier,Bronx
2269,2016-05-21,"jindo dog,",Brooklyn
2270,2016-05-22,gold retriever/lab/chow chow x,Brooklyn
2271,2016-05-22,german sheperd point mix,Manhattan
2272,2016-05-22,rottweiler,Bronx
2273,2016-05-22,american pit bull terrier/pit bull,Brooklyn
2274,2016-05-22,pit bull,Bronx
2275,2016-05-23,pit bull,Staten Island
2276,2016-05-23,yorkshire terrier,Brooklyn
2277,2016-05-23,miki,Manhattan
2278,2016-05-23,bichon frise,Queens
2279,2016-05-23,golden poodle,Manhattan
2280,2016-05-23,"poodle, miniature",Brooklyn
2281,2016-05-24,german shepherd crossbreed,Queens
2282,2016-05-24,cotton de tulear,Manhattan
2283,2016-05-24,pit bull,Bronx
2284,2016-05-25,bouvier des flandres,Manhattan
2285,2016-05-25,pit bull,Queens
2286,2016-05-25,chinese tien yun chu,Queens
2287,2016-05-25,multi poo,Staten Island
2288,2016-05-25,weimaraner,Brooklyn
2289,2016-05-26,german shepherd,Brooklyn
2290,2016-05-26,bull terrier,Brooklyn
2291,2016-05-27,cotton de tulear,Bronx
2292,2016-05-27,cock-a-poo,Queens
2293,2016-05-27,american pit bull terrier/pit bull,Brooklyn
2294,2016-05-27,boxer,Bronx
2295,2016-05-27,cocker spaniel,Brooklyn
2296,2016-05-28,mini pinscher/yorkshire terrier,Manhattan
2297,2016-05-28,shih tzu,Manhattan
2298,2016-05-28,cane corso,Queens
2299,2016-05-28,pit/chihuahua,Queens
2300,2016-05-28,mastiff mix,Queens
2301,2016-05-28,american pit bull terrier/pit bull,Staten Island
2302,2016-05-28,german shepherd,Bronx
2303,2016-05-29,yorkshire terrier,Brooklyn
2304,2016-05-29,chihuahua,Queens
2305,2016-05-29,shih tzu,Queens
2306,2016-05-29,shih tzu/mix,Queens
2307,2016-05-29,pit bull,Queens
2308,2016-05-30,beagle,Staten Island
2309,2016-05-30,american pit bull mix / pit bull mix,Staten Island
2310,2016-05-30,mixed/other,Staten Island
2311,2016-05-30,maltese poodle mix,Manhattan
2312,2016-05-30,labrador retriever,Bronx
2313,2016-05-30,pit bull,Bronx
2314,2016-05-31,"jindo dog,",Queens
2315,2016-06-01,american pit bull mix / pit bull mix,Queens
2316,2016-06-01,pit bull,Brooklyn
2317,2016-06-02,shih tzu/ poodle,Bronx
2318,2016-06-02,pit bull,Queens
2319,2016-06-03,chihuahua crossbreed,Brooklyn
2320,2016-06-03,german shepherd,Queens
2321,2016-06-04,shih tzu,Manhattan
2322,2016-06-04,chihuahua,Bronx
2323,2016-06-04,pit bull,Queens
2324,2016-06-04,pit bull,Staten Island
2325,2016-06-04,pit bull/lab x,Brooklyn
2326,2016-06-04,mixed/other,Brooklyn
2327,2016-06-05,german shepard mix,Manhattan
2328,2016-06-05,american pit bull terrier/pit bull,Queens
2329,2016-06-05,"poodle, toy",Brooklyn
2330,2016-06-05,pit bull,Queens
2331,2016-06-05,shih tzu,Bronx
2332,2016-06-06,mixed/other,Bronx
2333,2016-06-06,pekingese,Bronx
2334,2016-06-07,yorkshire terrier,Queens
2335,2016-06-07,siberian husky,Bronx
2336,2016-06-07,border collie x,Brooklyn
2337,2016-06-08,american pit bull terrier/pit bull,Queens
2338,2016-06-08,american pit bull terrier/pit bull,Queens
2339,2016-06-08,american pit bull terrier/pit bull,Manhattan
2340,2016-06-08,chihuahua,Bronx
2341,2016-06-08,maltese,Bronx
2342,2016-06-09,"bull dog, french",Brooklyn
2343,2016-06-09,pit bull,Queens
2344,2016-06-09,westie-pit bull x,Brooklyn
2345,2016-06-09,chihuahua,Manhattan
2346,2016-06-10,pit bull,Bronx
2347,2016-06-10,pit bull/rottweiler,Brooklyn
