,incident_date,breed,borough
145,2015-02-13,bloodhound,Queens
146,2015-02-13,"welsh corgi, pembroke",Manhattan
147,2015-02-13,american pit bull terrier/pit bull,Brooklyn
148,2015-02-14,podengo pequeno/mix,Manhattan
149,2015-02-14,american pit bull mix / pit bull mix,Bronx
150,2015-02-14,american pit bull mix / pit bull mix,Bronx
151,2015-02-15,shiba inu,Bronx
152,2015-02-15,american pit bull mix / pit bull mix,Brooklyn
153,2015-02-15,pekingese,Bronx
154,2015-02-16,siberian husky,Bronx
155,2015-02-17,"poodle, standard",Manhattan
156,2015-02-17,podengo pequeno/mix,Manhattan
157,2015-02-17,american pit bull terrier/pit bull,Brooklyn
158,2015-02-17,"poodle, standard",Queens
159,2015-02-17,jack russ,Staten Island
160,2015-02-17,german shepherd,Staten Island
161,2015-02-18,pit bull,Staten Island
162,2015-02-18,jack russ,Staten Island
163,2015-02-18,yorkshire terrier,Brooklyn
164,2015-02-19,pitbull/ lab,Manhattan
165,2015-02-19,pit bull,Staten Island
166,2015-02-19,springer spaniel,Brooklyn
167,2015-02-19,pitbull/rhodesian,Manhattan
168,2015-02-19,american eskimo,Queens
169,2015-02-20,collie crossbreed,Manhattan
170,2015-02-21,jack russ,Bronx
171,2015-02-21,american pit bull mix / pit bull mix,Queens
172,2015-02-21,american pit bull mix / pit bull mix,Queens
173,2015-02-21,"poodle, standard",Queens
174,2015-02-22,boston terrier,Queens
175,2015-02-22,cocker spaniel,Bronx
176,2015-02-22,fox hound,Brooklyn
177,2015-02-23,lhasa apso,Manhattan
178,2015-02-23,maltese,Queens
179,2015-02-23,collie crossbreed,Manhattan
180,2015-02-24,pit bull,Brooklyn
181,2015-02-24,mixed/other,Queens
182,2015-02-24,shih tzu,Queens
183,2015-02-24,rottweiler,Bronx
184,2015-02-24,bichon frise,Bronx
185,2015-02-25,pointer,Queens
186,2015-02-26,pit bull,Brooklyn
187,2015-02-26,pit bull,Brooklyn
188,2015-02-27,pit bull,Bronx
189,2015-02-27,"mastiff, bull",Bronx
190,2015-02-27,black mouth cur,Manhattan
191,2015-02-27,american pit bull terrier/pit bull,Brooklyn
192,2015-02-27,akita,Manhattan
193,2015-02-27,"bull dog, english",Bronx
194,2015-02-28,shiba inu,Queens
195,2015-02-28,american pit bull mix / pit bull mix,Brooklyn
196,2015-02-28,boston terrier,Queens
197,2015-02-28,weimaraner,Brooklyn
198,2015-02-28,"welsh corgi, pembroke",Staten Island
199,2015-02-28,havanese/ poodle mix,Queens
200,2015-02-28,siberian husky,Queens
201,2015-02-28,american staffordshire terrier,Bronx
202,2015-03-01,shih tzu,Bronx
203,2015-03-01,lab mix,Manhattan
204,2015-03-01,"poodle, toy",Queens
205,2015-03-01,american pit bull mix / pit bull mix,Brooklyn
206,2015-03-02,rhodesian ridgeback/ terrier,Queens
207,2015-03-02,mixed/other,Bronx
208,2015-03-02,bull dog,Staten Island
209,2015-03-03,staffordshire mix,Manhattan
210,2015-03-03,staffordshire mix,Manhattan
211,2015-03-03,staffordshire mix,Manhattan
212,2015-03-03,staffordshire mix,Manhattan
213,2015-03-03,"poodle, toy",Staten Island
214,2015-03-03,pit bull,Queens
215,2015-03-05,pomeranian,Queens
216,2015-03-05,boston terrier,Queens
217,2015-03-05,beagle,Queens
218,2015-03-05,bichon frise,Manhattan
219,2015-03-06,cocker spaniel crossbreed,Queens
220,2015-03-06,cairn terrier,Manhattan
221,2015-03-06,labrador retriever,Manhattan
222,2015-03-06,yorkshire terrier crossbreed,Bronx
223,2015-03-06,mutt,Manhattan
224,2015-03-07,rottweiler,Queens
225,2015-03-07,cocker spaniel,Staten Island
226,2015-03-07,pit bull,Queens
227,2015-03-07,"bull dog, english",Brooklyn
228,2015-03-07,bulldog/sharpei,Brooklyn
229,2015-03-07,rottweiler,Queens
230,2015-03-07,rottweiler,Queens
231,2015-03-08,labrador retriever crossbreed,Staten Island
232,2015-03-08,,Manhattan
233,2015-03-08,english cocker spaniel,Bronx
234,2015-03-08,shih tzu,Brooklyn
235,2015-03-09,american pit bull mix / pit bull mix,Manhattan
236,2015-03-11,chow/golden retriever,Manhattan
237,2015-03-11,pit bull,Bronx
238,2015-03-12,pit bull,Manhattan
239,2015-03-12,boston terrier,Manhattan
240,2015-03-12,jack russ,Brooklyn
241,2015-03-12,chihuahua,Queens
242,2015-03-12,german shepherd,Staten Island
243,2015-03-13,border collie mix,Manhattan
244,2015-03-13,pug,Brooklyn
245,2015-03-13,australian border collie,Bronx
246,2015-03-13,american pit bull mix / pit bull mix,Manhattan
247,2015-03-14,chihuahua,Queens
248,2015-03-14,westy,Queens
249,2015-03-14,american pit bull mix / pit bull mix,Staten Island
250,2015-03-14,poodle,Bronx
251,2015-03-14,poodle,Bronx
252,2015-03-14,shepherd mix,Brooklyn
253,2015-03-14,chow chow,Brooklyn
254,2015-03-15,chihuahua,Brooklyn
255,2015-03-15,pit bull,Queens
256,2015-03-15,american staffordshire terrier,Brooklyn
257,2015-03-15,yorkshire terrier,Brooklyn
258,2015-03-15,terrier mix,Bronx
