"breed","breed_count"
"unknown","294"
"pit bull","258"
"mixed/other","137"
"american pit bull mix / pit bull mix","97"
"shih tzu","77"
"yorkshire terrier","66"
"chihuahua","63"
"labrador retriever","52"
"german shepherd","46"
"maltese","45"
