"breed","breed_count"
"pit bull","178"
"german shepherd","46"
"mixed/other","42"
"american pit bull mix / pit bull mix","42"
"shih tzu","37"
"labrador retriever","27"
"unknown","26"
"rottweiler","23"
"large mixed breed","22"
"yorkshire terrier","20"
